CAGR,Vol,Sharpe,MaxDD,Hit%,extra_spread_bps,impact_mult
0.0972,0.1576,0.4901,-0.303,0.5242,0.0,1.0
0.0956,0.1576,0.4796,-0.303,0.5236,0.0,1.5
0.0939,0.1576,0.4691,-0.303,0.5231,0.0,2.0
0.0969,0.1576,0.4878,-0.303,0.5236,5.0,1.0
0.0952,0.1576,0.4773,-0.303,0.5236,5.0,1.5
0.0936,0.1576,0.4668,-0.303,0.5231,5.0,2.0
0.0965,0.1576,0.4855,-0.303,0.5236,10.0,1.0
0.0949,0.1576,0.475,-0.303,0.5236,10.0,1.5
0.0932,0.1576,0.4645,-0.303,0.5231,10.0,2.0
0.0961,0.1576,0.4832,-0.303,0.5236,15.0,1.0
0.0945,0.1576,0.4727,-0.303,0.5236,15.0,1.5
0.0929,0.1576,0.4622,-0.303,0.5231,15.0,2.0
