CAGR,Vol,Sharpe,MaxDD,Hit%,dropped
0.0929,0.1694,0.4306,-0.3247,0.5203,GLD
0.107,0.1735,0.5013,-0.337,0.5231,TLT
0.0985,0.1538,0.5106,-0.2974,0.522,XLB
0.0739,0.1547,0.3483,-0.4334,0.5349,XLC
0.0979,0.1522,0.5116,-0.2748,0.5258,XLE
0.0962,0.153,0.4981,-0.2908,0.5247,XLF
0.0958,0.154,0.4922,-0.2918,0.5231,XLI
0.0875,0.1522,0.4434,-0.3025,0.5197,XLK
0.1001,0.1612,0.497,-0.3085,0.5231,XLP
0.0983,0.159,0.4922,-0.2987,0.522,XLU
0.1006,0.1593,0.5058,-0.3051,0.5292,XLV
0.0959,0.1534,0.4947,-0.3001,0.5203,XLY
